20251105_Metansensor_2,,,,,,,ppm CO2,ppm CH4,ppm N2O,,,,,,,,,,,,
,,,,,,NL,390.8,1.93,0.54,,,,,,,,,,,,
,,,,,,OH,10000,10000,151,,,,,,,,,,,,
,,,,,,NL avg pa,64340,37823,40309333,,,,,,,,,,,,
,,,,,,OH avg pa,1761595,187281113,2723944227,,,,,,,,,,,,
,,,,,,%CV NL,2.59,0.71,0.79,,,,,,,,,,,,
,,,,,,%CV OH,1.83,0.03,0.27,,,,,,,,,,,,
,,,,,,ppm/pa NL,6.07E-03,5.10E-05,1.34E-08,,,,,,,,,,,,
,,,,,,ppm/pa OH,5.68E-03,5.34E-05,5.54E-08,,,,,,,,,,,,
,,,,,,ppm/pa avg,5.88E-03,5.22E-05,3.44E-08,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Date,Time,Sample Id,File Name,Method Name,User Name,luft,CO2,CH4,N2O,,prøvenr,Datestamp,ppm CO2,ppm CH4,VialNr,,,Datestamp,ppm CO2,ppm CH4,VialNr
11/5/2025,11:49:05,1,D:\Users\Tingvold\Data\Cal_20251105_Metansensor_2_001.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,340918,67008,37619,40965419,new low,1,,394,2,,,,,,,
11/5/2025,11:53:59,2,D:\Users\Tingvold\Data\Cal_20251105_Metansensor_2_002.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,560557,1741709,187171724,2736428935,old high,2,,10233,9773,,,,,,,
11/5/2025,11:58:53,1,D:\Users\Tingvold\Data\20251105_Metansensor_2_001.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,140091045,93964,1052300,32390506,,1,10/15/2025 15:22,552,55,1,15-Oct,15:22,10/15/25 15:22,552,55,1
11/5/2025,12:03:50,2,D:\Users\Tingvold\Data\20251105_Metansensor_2_002.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,136083582,95040,823706,25650899,,2,10/15/2025 15:22,558,43,2,15-Oct,15:22,10/15/25 15:22,558,43,2
11/5/2025,12:08:43,3,D:\Users\Tingvold\Data\20251105_Metansensor_2_003.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,134806007,86410,1448115,28784694,,3,10/16/2025 7:48,508,76,3,16-Oct,07:48,10/16/25 07:48,508,76,3
11/5/2025,12:13:39,4,D:\Users\Tingvold\Data\20251105_Metansensor_2_004.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,139616415,87439,1561124,28460326,,4,10/16/2025 7:48,514,82,4,16-Oct,07:48,10/16/25 07:48,514,82,4
11/5/2025,12:18:34,5,D:\Users\Tingvold\Data\20251105_Metansensor_2_005.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,138738531,87503,1294620,25359054,,5,10/16/2025 15:11,514,68,5,16-Oct,15:11,10/16/25 15:11,514,68,5
11/5/2025,12:23:30,6,D:\Users\Tingvold\Data\20251105_Metansensor_2_006.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,139121329,87702,1498058,27953209,,6,10/16/2025 15:11,515,78,6,16-Oct,15:11,10/16/25 15:11,515,78,6
11/5/2025,12:28:25,7,D:\Users\Tingvold\Data\20251105_Metansensor_2_007.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,139347739,98317,2870208,28880032,,7,10/17/2025 9:21,578,150,7,17-Oct,09:21,10/17/25 09:21,578,150,7
11/5/2025,12:33:20,8,D:\Users\Tingvold\Data\20251105_Metansensor_2_008.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,133542257,92275,2062261,24348867,,8,10/17/2025 9:21,542,108,8,17-Oct,09:21,10/17/25 09:21,542,108,8
11/5/2025,12:38:15,9,D:\Users\Tingvold\Data\20251105_Metansensor_2_009.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,133489742,89576,1168632,17898690,,9,10/17/2025 16:26,526,61,9,17-Oct,16:26,10/17/25 16:26,526,61,9
11/5/2025,12:43:10,10,D:\Users\Tingvold\Data\20251105_Metansensor_2_010.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,139192382,496,2315082,28449297,,10,10/17/2025 16:26,3,121,10,17-Oct,16:26,,,,
11/5/2025,12:48:05,3,D:\Users\Tingvold\Data\Cal_20251105_Metansensor_2_003.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,296530,65040,37460,40195064,new low,3,,382,2,,,,,,,
11/5/2025,12:53:00,4,D:\Users\Tingvold\Data\Cal_20251105_Metansensor_2_004.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,559274,1742898,187292579,2729869289,old high,4,,10240,9779,,,,,,,
11/5/2025,12:57:54,11,D:\Users\Tingvold\Data\20251105_Metansensor_2_011.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,132846809,83204,745881,32101389,,11,10/18/2025 7:59,489,39,11,18-Oct,07:59,10/18/25 07:59,489,39,11
11/5/2025,13:02:49,12,D:\Users\Tingvold\Data\20251105_Metansensor_2_012.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,132760001,85496,766076,23020598,,12,10/18/2025 7:59,502,40,12,18-Oct,07:59,10/18/25 07:59,502,40,12
11/5/2025,13:07:44,13,D:\Users\Tingvold\Data\20251105_Metansensor_2_013.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,133656193,81423,874163,24382599,,13,10/18/2025 15:38,478,46,13,18-Oct,15:38,10/18/25 15:38,478,46,13
11/5/2025,13:12:37,14,D:\Users\Tingvold\Data\20251105_Metansensor_2_014.dat,D:\Methods\field_flux_2018_Bekkelaget.met,System,135824557,85052,1130142,26578873,,14,10/18/2025 15:38,500,59,14,18-Oct,15:38,10/18/25 15:38,500,59,14
